2025-09-24 22:36:01,013 DEBUG __main__:201 | FETCH pc=0x00000000 instr=0x00500093
2025-09-24 22:36:16,517 DEBUG __main__:251 | ADDI x1, x0, 5
2025-09-24 22:37:00,700 DEBUG __main__:166 | === REG DUMP before ADDI ===
2025-09-24 22:37:00,701 DEBUG __main__:170 | x00 = 0x00000000 (          0)
2025-09-24 22:37:00,701 DEBUG __main__:170 | x01 = 0x00000000 (          0)
2025-09-24 22:37:00,702 DEBUG __main__:170 | x02 = 0x00000000 (          0)
2025-09-24 22:37:00,702 DEBUG __main__:170 | x03 = 0x00000000 (          0)
2025-09-24 22:37:00,702 DEBUG __main__:170 | x04 = 0x00000000 (          0)
2025-09-24 22:37:00,703 DEBUG __main__:170 | x05 = 0x00000000 (          0)
2025-09-24 22:37:00,703 DEBUG __main__:170 | x06 = 0x00000000 (          0)
2025-09-24 22:37:00,704 DEBUG __main__:170 | x07 = 0x00000000 (          0)
2025-09-24 22:37:00,704 DEBUG __main__:170 | x08 = 0x00000000 (          0)
2025-09-24 22:37:00,704 DEBUG __main__:170 | x09 = 0x00000000 (          0)
2025-09-24 22:37:00,705 DEBUG __main__:170 | x10 = 0x00000000 (          0)
2025-09-24 22:37:00,705 DEBUG __main__:170 | x11 = 0x00000000 (          0)
2025-09-24 22:37:00,705 DEBUG __main__:170 | x12 = 0x00000000 (          0)
2025-09-24 22:37:00,706 DEBUG __main__:170 | x13 = 0x00000000 (          0)
2025-09-24 22:37:00,706 DEBUG __main__:170 | x14 = 0x00000000 (          0)
2025-09-24 22:37:00,707 DEBUG __main__:170 | x15 = 0x00000000 (          0)
2025-09-24 22:37:00,707 DEBUG __main__:170 | x16 = 0x00000000 (          0)
2025-09-24 22:37:00,707 DEBUG __main__:170 | x17 = 0x00000000 (          0)
2025-09-24 22:37:00,707 DEBUG __main__:170 | x18 = 0x00000000 (          0)
2025-09-24 22:37:00,708 DEBUG __main__:170 | x19 = 0x00000000 (          0)
2025-09-24 22:37:00,708 DEBUG __main__:170 | x20 = 0x00000000 (          0)
2025-09-24 22:37:00,708 DEBUG __main__:170 | x21 = 0x00000000 (          0)
2025-09-24 22:37:00,708 DEBUG __main__:170 | x22 = 0x00000000 (          0)
2025-09-24 22:37:00,709 DEBUG __main__:170 | x23 = 0x00000000 (          0)
2025-09-24 22:37:00,709 DEBUG __main__:170 | x24 = 0x00000000 (          0)
2025-09-24 22:37:00,709 DEBUG __main__:170 | x25 = 0x00000000 (          0)
2025-09-24 22:37:00,709 DEBUG __main__:170 | x26 = 0x00000000 (          0)
2025-09-24 22:37:00,710 DEBUG __main__:170 | x27 = 0x00000000 (          0)
2025-09-24 22:37:00,710 DEBUG __main__:170 | x28 = 0x00000000 (          0)
2025-09-24 22:37:00,710 DEBUG __main__:170 | x29 = 0x00000000 (          0)
2025-09-24 22:37:00,710 DEBUG __main__:170 | x30 = 0x00000000 (          0)
2025-09-24 22:37:00,710 DEBUG __main__:170 | x31 = 0x00000000 (          0)
2025-09-24 22:37:12,324 DEBUG __main__:244 | x01 <- 0x00000005
2025-09-24 22:37:16,499 DEBUG __main__:166 | === REG DUMP after ADDI ===
2025-09-24 22:37:16,500 DEBUG __main__:170 | x00 = 0x00000000 (          0)
2025-09-24 22:37:16,500 DEBUG __main__:170 | x01 = 0x00000005 (          5)
2025-09-24 22:37:16,501 DEBUG __main__:170 | x02 = 0x00000000 (          0)
2025-09-24 22:37:16,501 DEBUG __main__:170 | x03 = 0x00000000 (          0)
